Codigo/ Materia/ Creditos/ Tipologia/ Semestre/ Prerrequisitos/ 
1000466/ materia 466/ 4/ LE/ 5/ 1000354/ 
1000467/ materia 467/ 2/ LE/ 5/ 1000009/ 
1000468/ materia 468/ 4/ LE/ 5/ 1000033/ 
1000469/ materia 469/ 2/ LE/ 5/ 1000212/ 
1000470/ materia 470/ 5/ LE/ 5/ 1000307/ 
1000471/ materia 471/ 5/ LE/ 5/ 1000394/ 
1000472/ materia 472/ 3/ LE/ 5/ 1000174/ 
1000473/ materia 473/ 1/ LE/ 5/ 1000258/ 
1000474/ materia 474/ 2/ LE/ 5/ 1000094/ 
1000475/ materia 475/ 5/ LE/ 5/ 1000024/ 
1000476/ materia 476/ 1/ LE/ 5/ 1000007/ 
1000477/ materia 477/ 5/ LE/ 5/ 1000388/ 
1000478/ materia 478/ 3/ LE/ 5/ 1000283/ 
1000479/ materia 479/ 3/ LE/ 5/ 1000203/ 
1000480/ materia 480/ 5/ LE/ 5/ 1000419/ 
1000481/ materia 481/ 2/ LE/ 5/ 1000479/ 
1000482/ materia 482/ 1/ LE/ 5/ 1000232/ 
1000483/ materia 483/ 1/ LE/ 5/ 1000385/ 
1000484/ materia 484/ 1/ LE/ 5/ 1000242/ 
1000485/ materia 485/ 2/ LE/ 5/ 1000075/ 
1000486/ materia 486/ 1/ LE/ 5/ 1000229/ 
1000487/ materia 487/ 4/ LE/ 5/ 1000286/ 
1000488/ materia 488/ 3/ LE/ 5/ 1000325/ 
1000489/ materia 489/ 5/ LE/ 5/ 1000093/ 
1000490/ materia 490/ 2/ LE/ 5/ 1000300/ 
1000491/ materia 491/ 2/ LE/ 5/ 1000143/ 
1000492/ materia 492/ 3/ LE/ 5/ 1000414/ 
1000493/ materia 493/ 3/ LE/ 5/ 1000160/ 
1000494/ materia 494/ 5/ LE/ 5/ 1000453/ 
1000495/ materia 495/ 3/ LE/ 5/ 1000486/ 
1000496/ materia 496/ 2/ LE/ 5/ 1000345/ 
1000497/ materia 497/ 1/ LE/ 5/ 1000301/ 
1000498/ materia 498/ 5/ LE/ 5/ 1000420/ 
1000499/ materia 499/ 2/ LE/ 5/ 1000408/ 
1000500/ materia 500/ 5/ LE/ 5/ 1000302/ 
1000501/ materia 501/ 3/ LE/ 6/ 1000209/ 
1000502/ materia 502/ 4/ LE/ 6/ 1000406/ 
1000503/ materia 503/ 1/ LE/ 6/ 1000263/ 
1000504/ materia 504/ 3/ LE/ 6/ 1000074/ 
1000505/ materia 505/ 3/ LE/ 6/ 1000486/ 
1000506/ materia 506/ 2/ LE/ 6/ 1000344/ 
1000507/ materia 507/ 5/ LE/ 6/ 1000462/ 
1000508/ materia 508/ 1/ LE/ 6/ 1000307/ 
1000509/ materia 509/ 2/ LE/ 6/ 1000398/ 
1000510/ materia 510/ 4/ LE/ 6/ 1000141/ 
1000511/ materia 511/ 3/ LE/ 6/ 1000188/ 
1000512/ materia 512/ 3/ LE/ 6/ 1000237/ 
1000513/ materia 513/ 3/ LE/ 6/ 1000121/ 
1000514/ materia 514/ 5/ LE/ 6/ 1000449/ 
1000515/ materia 515/ 4/ LE/ 6/ 1000185/ 
1000516/ materia 516/ 2/ LE/ 6/ 1000470/ 
1000517/ materia 517/ 3/ LE/ 6/ 1000009/ 
1000518/ materia 518/ 4/ LE/ 6/ 1000362/ 
1000519/ materia 519/ 2/ LE/ 6/ 1000482/ 
1000520/ materia 520/ 1/ LE/ 6/ 1000176/ 
1000521/ materia 521/ 1/ LE/ 6/ 1000336/ 
1000522/ materia 522/ 5/ LE/ 6/ 1000225/ 
1000523/ materia 523/ 4/ LE/ 6/ 1000102/ 
1000524/ materia 524/ 1/ LE/ 6/ 1000440/ 
1000525/ materia 525/ 1/ LE/ 6/ 1000509/ 
1000526/ materia 526/ 3/ LE/ 6/ 1000370/ 
1000527/ materia 527/ 3/ LE/ 6/ 1000454/ 
1000528/ materia 528/ 3/ LE/ 6/ 1000375/ 
1000529/ materia 529/ 3/ LE/ 6/ 1000352/ 
1000530/ materia 530/ 5/ LE/ 6/ 1000320/ 
1000531/ materia 531/ 1/ LE/ 6/ 1000375/ 
1000532/ materia 532/ 3/ LE/ 6/ 1000508/ 
1000533/ materia 533/ 3/ LE/ 6/ 1000393/ 
1000534/ materia 534/ 3/ LE/ 6/ 1000092/ 
1000535/ materia 535/ 5/ LE/ 6/ 1000044/ 
1000536/ materia 536/ 5/ LE/ 6/ 1000414/ 
1000537/ materia 537/ 1/ LE/ 6/ 1000010/ 
1000538/ materia 538/ 3/ LE/ 6/ 1000483/ 
1000539/ materia 539/ 4/ LE/ 6/ 1000229/ 
1000540/ materia 540/ 2/ LE/ 6/ 1000040/ 
1000541/ materia 541/ 1/ LE/ 6/ 1000361/ 
1000542/ materia 542/ 5/ LE/ 6/ 1000125/ 
1000543/ materia 543/ 4/ LE/ 6/ 1000405/ 
1000544/ materia 544/ 4/ LE/ 6/ 1000526/ 
1000545/ materia 545/ 4/ LE/ 6/ 1000369/ 
1000546/ materia 546/ 2/ LE/ 6/ 1000037/ 
1000547/ materia 547/ 4/ LE/ 6/ 1000075/ 
1000548/ materia 548/ 5/ LE/ 6/ 1000145/ 
1000549/ materia 549/ 5/ LE/ 6/ 1000197/ 
1000550/ materia 550/ 5/ LE/ 6/ 1000143/ 
1000551/ materia 551/ 5/ LE/ 6/ 1000147/ 
1000552/ materia 552/ 4/ LE/ 6/ 1000543/ 
1000553/ materia 553/ 2/ LE/ 6/ 1000477/ 
1000554/ materia 554/ 1/ LE/ 6/ 1000063/ 
1000555/ materia 555/ 3/ LE/ 6/ 1000488/ 
1000556/ materia 556/ 1/ LE/ 6/ 1000468/ 
1000557/ materia 557/ 5/ LE/ 6/ 1000367/ 
1000558/ materia 558/ 5/ LE/ 6/ 1000495/ 
1000559/ materia 559/ 3/ LE/ 6/ 1000168/ 
1000560/ materia 560/ 5/ LE/ 6/ 1000427/ 
1000561/ materia 561/ 4/ LE/ 6/ 1000028/ 
1000562/ materia 562/ 5/ LE/ 6/ 1000164/ 
1000563/ materia 563/ 2/ LE/ 6/ 1000527/ 
1000564/ materia 564/ 2/ LE/ 6/ 1000210/ 
1000565/ materia 565/ 2/ LE/ 6/ 1000375/ 
1000566/ materia 566/ 3/ LE/ 6/ 1000562/ 
1000567/ materia 567/ 1/ LE/ 6/ 1000432/ 
1000568/ materia 568/ 5/ LE/ 6/ 1000283/ 
1000569/ materia 569/ 3/ LE/ 6/ 1000547/ 
1000570/ materia 570/ 1/ LE/ 6/ 1000061/ 
1000571/ materia 571/ 2/ LE/ 6/ 1000480/ 
1000572/ materia 572/ 4/ LE/ 6/ 1000385/ 
1000573/ materia 573/ 4/ LE/ 6/ 1000415/ 
1000574/ materia 574/ 5/ LE/ 6/ 1000405/ 
1000575/ materia 575/ 2/ LE/ 6/ 1000465/ 
1000576/ materia 576/ 4/ LE/ 6/ 1000363/ 
1000577/ materia 577/ 4/ LE/ 6/ 1000327/ 
1000578/ materia 578/ 1/ LE/ 6/ 1000180/ 
1000579/ materia 579/ 4/ LE/ 6/ 1000221/ 
1000580/ materia 580/ 1/ LE/ 6/ 1000470/ 
1000581/ materia 581/ 4/ LE/ 6/ 1000252/ 
1000582/ materia 582/ 5/ LE/ 6/ 1000235/ 
1000583/ materia 583/ 4/ LE/ 6/ 1000496/ 
1000584/ materia 584/ 3/ LE/ 6/ 1000497/ 
1000585/ materia 585/ 4/ LE/ 6/ 1000054/ 
1000586/ materia 586/ 2/ LE/ 6/ 1000534/ 
1000587/ materia 587/ 1/ LE/ 6/ 1000347/ 
1000588/ materia 588/ 2/ LE/ 6/ 1000059/ 
1000589/ materia 589/ 5/ LE/ 6/ 1000379/ 
1000590/ materia 590/ 3/ LE/ 6/ 1000423/ 
1000591/ materia 591/ 4/ LE/ 6/ 1000325/ 
1000592/ materia 592/ 1/ LE/ 6/ 1000060/ 
1000593/ materia 593/ 1/ LE/ 6/ 1000006/ 
1000594/ materia 594/ 1/ LE/ 6/ 1000093/ 
1000595/ materia 595/ 5/ LE/ 6/ 1000450/ 
1000596/ materia 596/ 2/ LE/ 6/ 1000064/ 
1000597/ materia 597/ 1/ LE/ 6/ 1000268/ 
1000598/ materia 598/ 5/ LE/ 6/ 1000312/ 
1000599/ materia 599/ 2/ LE/ 6/ 1000488/ 
1000600/ materia 600/ 4/ LE/ 6/ 1000344/ 
1000601/ materia 601/ 5/ LE/ 7/ 1000024/ 
1000602/ materia 602/ 2/ LE/ 7/ 1000334/ 
1000603/ materia 603/ 3/ LE/ 7/ 1000248/ 
1000604/ materia 604/ 4/ LE/ 7/ 1000394/ 
1000605/ materia 605/ 5/ LE/ 7/ 1000120/ 
1000606/ materia 606/ 2/ LE/ 7/ 1000576/ 
1000607/ materia 607/ 3/ LE/ 7/ 1000489/ 
1000608/ materia 608/ 1/ LE/ 7/ 1000429/ 
1000609/ materia 609/ 2/ LE/ 7/ 1000096/ 
1000610/ materia 610/ 1/ LE/ 7/ 1000524/ 
1000611/ materia 611/ 4/ LE/ 7/ 1000208/ 
1000612/ materia 612/ 1/ LE/ 7/ 1000488/ 
1000613/ materia 613/ 2/ LE/ 7/ 1000300/ 
1000614/ materia 614/ 1/ LE/ 7/ 1000234/ 
1000615/ materia 615/ 1/ LE/ 7/ 1000574/ 
1000616/ materia 616/ 4/ LE/ 7/ 1000119/ 
1000617/ materia 617/ 4/ LE/ 7/ 1000361/ 
1000618/ materia 618/ 4/ LE/ 7/ 1000044/ 
1000619/ materia 619/ 3/ LE/ 7/ 1000360/ 
1000620/ materia 620/ 3/ LE/ 7/ 1000535/ 
1000621/ materia 621/ 2/ LE/ 7/ 1000106/ 
1000622/ materia 622/ 2/ LE/ 7/ 1000274/ 
1000623/ materia 623/ 5/ LE/ 7/ 1000535/ 
1000624/ materia 624/ 5/ LE/ 7/ 1000609/ 
1000625/ materia 625/ 4/ LE/ 7/ 1000497/ 
1000626/ materia 626/ 5/ LE/ 7/ 1000281/ 
1000627/ materia 627/ 1/ LE/ 7/ 1000261/ 
1000628/ materia 628/ 4/ LE/ 7/ 1000258/ 
1000629/ materia 629/ 1/ LE/ 7/ 1000213/ 
1000630/ materia 630/ 1/ LE/ 7/ 1000006/ 
1000631/ materia 631/ 4/ LE/ 7/ 1000309/ 
1000632/ materia 632/ 4/ LE/ 7/ 1000155/ 
1000633/ materia 633/ 3/ LE/ 7/ 1000322/ 
1000634/ materia 634/ 2/ LE/ 7/ 1000312/ 
1000635/ materia 635/ 1/ LE/ 7/ 1000244/ 
1000636/ materia 636/ 3/ LE/ 7/ 1000166/ 
1000637/ materia 637/ 2/ LE/ 7/ 1000217/ 
1000638/ materia 638/ 5/ LE/ 7/ 1000138/ 
1000639/ materia 639/ 4/ LE/ 7/ 1000631/ 
1000640/ materia 640/ 5/ LE/ 7/ 1000283/ 
1000641/ materia 641/ 5/ LE/ 7/ 1000449/ 
1000642/ materia 642/ 1/ LE/ 7/ 1000615/ 
1000643/ materia 643/ 1/ LE/ 7/ 1000171/ 
1000644/ materia 644/ 2/ LE/ 7/ 1000308/ 
1000645/ materia 645/ 4/ LE/ 7/ 1000501/ 
1000646/ materia 646/ 3/ LE/ 7/ 1000285/ 
1000647/ materia 647/ 1/ LE/ 7/ 1000494/ 
1000648/ materia 648/ 5/ LE/ 7/ 1000168/ 
1000649/ materia 649/ 4/ LE/ 7/ 1000384/ 
1000650/ materia 650/ 3/ LE/ 7/ 1000551/ 
1000651/ materia 651/ 1/ LE/ 7/ 1000065/ 
1000652/ materia 652/ 1/ LE/ 7/ 1000248/ 
1000653/ materia 653/ 3/ LE/ 7/ 1000321/ 
1000654/ materia 654/ 5/ LE/ 7/ 1000203/ 
1000655/ materia 655/ 5/ LE/ 7/ 1000312/ 
1000656/ materia 656/ 5/ LE/ 7/ 1000418/ 
1000657/ materia 657/ 1/ LE/ 7/ 1000430/ 
1000658/ materia 658/ 2/ LE/ 7/ 1000274/ 
1000659/ materia 659/ 2/ LE/ 7/ 1000111/ 
1000660/ materia 660/ 5/ LE/ 7/ 1000351/ 
1000661/ materia 661/ 4/ LE/ 7/ 1000387/ 
1000662/ materia 662/ 1/ LE/ 7/ 1000467/ 
1000663/ materia 663/ 2/ LE/ 7/ 1000024/ 
1000664/ materia 664/ 2/ LE/ 7/ 1000509/ 
1000665/ materia 665/ 3/ LE/ 7/ 1000408/ 
1000666/ materia 666/ 2/ LE/ 7/ 1000112/ 
1000667/ materia 667/ 3/ LE/ 7/ 1000007/ 
1000668/ materia 668/ 2/ LE/ 7/ 1000501/ 
1000669/ materia 669/ 1/ LE/ 7/ 1000270/ 
1000670/ materia 670/ 4/ LE/ 7/ 1000505/ 
1000671/ materia 671/ 2/ LE/ 7/ 1000405/ 
1000672/ materia 672/ 2/ LE/ 7/ 1000061/ 
1000673/ materia 673/ 4/ LE/ 7/ 1000297/ 
1000674/ materia 674/ 3/ LE/ 7/ 1000578/ 
1000675/ materia 675/ 1/ LE/ 7/ 1000275/ 
1000676/ materia 676/ 5/ LE/ 7/ 1000068/ 
1000677/ materia 677/ 2/ LE/ 7/ 1000369/ 
1000678/ materia 678/ 2/ LE/ 7/ 1000565/ 
1000679/ materia 679/ 2/ LE/ 7/ 1000400/ 
1000680/ materia 680/ 5/ LE/ 7/ 1000203/ 
1000681/ materia 681/ 4/ LE/ 7/ 1000245/ 
1000682/ materia 682/ 1/ LE/ 7/ 1000332/ 
1000683/ materia 683/ 1/ LE/ 7/ 1000271/ 
1000684/ materia 684/ 2/ LE/ 7/ 1000617/ 
1000685/ materia 685/ 3/ LE/ 7/ 1000587/ 
1000686/ materia 686/ 2/ LE/ 7/ 1000395/ 
1000687/ materia 687/ 4/ LE/ 7/ 1000449/ 
1000688/ materia 688/ 1/ LE/ 7/ 1000230/ 
1000689/ materia 689/ 2/ LE/ 7/ 1000579/ 
1000690/ materia 690/ 5/ LE/ 7/ 1000215/ 
1000691/ materia 691/ 5/ LE/ 7/ 1000181/ 
1000692/ materia 692/ 1/ LE/ 7/ 1000498/ 
1000693/ materia 693/ 1/ LE/ 7/ 1000303/ 
1000694/ materia 694/ 2/ LE/ 7/ 1000596/ 
1000695/ materia 695/ 4/ LE/ 7/ 1000490/ 
1000696/ materia 696/ 2/ LE/ 7/ 1000269/ 
1000697/ materia 697/ 2/ LE/ 7/ 1000423/ 
1000698/ materia 698/ 4/ LE/ 7/ 1000582/ 
1000699/ materia 699/ 5/ LE/ 7/ 1000377/ 
1000700/ materia 700/ 3/ LE/ 7/ 1000258/ 
1000701/ materia 701/ 3/ LE/ 8/ 1000445/ 
1000702/ materia 702/ 1/ LE/ 8/ 1000569/ 
1000703/ materia 703/ 1/ LE/ 8/ 1000636/ 
1000704/ materia 704/ 4/ LE/ 8/ 1000633/ 
1000705/ materia 705/ 2/ LE/ 8/ 1000446/ 
1000706/ materia 706/ 3/ LE/ 8/ 1000572/ 
1000707/ materia 707/ 5/ LE/ 8/ 1000010/ 
1000708/ materia 708/ 5/ LE/ 8/ 1000649/ 
1000709/ materia 709/ 2/ LE/ 8/ 1000032/ 
1000710/ materia 710/ 1/ LE/ 8/ 1000575/ 
1000711/ materia 711/ 4/ LE/ 8/ 1000471/ 
1000712/ materia 712/ 2/ LE/ 8/ 1000400/ 
1000713/ materia 713/ 5/ LE/ 8/ 1000100/ 
1000714/ materia 714/ 4/ LE/ 8/ 1000172/ 
1000715/ materia 715/ 4/ LE/ 8/ 1000516/ 
1000716/ materia 716/ 4/ LE/ 8/ 1000487/ 
1000717/ materia 717/ 5/ LE/ 8/ 1000370/ 
1000718/ materia 718/ 5/ LE/ 8/ 1000349/ 
1000719/ materia 719/ 3/ LE/ 8/ 1000460/ 
1000720/ materia 720/ 1/ LE/ 8/ 1000228/ 
1000721/ materia 721/ 4/ LE/ 8/ 1000433/ 
1000722/ materia 722/ 4/ LE/ 8/ 1000277/ 
1000723/ materia 723/ 4/ LE/ 8/ 1000684/ 
1000724/ materia 724/ 3/ LE/ 8/ 1000162/ 
1000725/ materia 725/ 3/ LE/ 8/ 1000107/ 
1000726/ materia 726/ 5/ LE/ 8/ 1000522/ 
1000727/ materia 727/ 5/ LE/ 8/ 1000542/ 
1000728/ materia 728/ 2/ LE/ 8/ 1000259/ 
1000729/ materia 729/ 5/ LE/ 8/ 1000538/ 
1000730/ materia 730/ 4/ LE/ 8/ 1000540/ 
1000731/ materia 731/ 3/ LE/ 8/ 1000163/ 
1000732/ materia 732/ 1/ LE/ 8/ 1000269/ 
1000733/ materia 733/ 4/ LE/ 8/ 1000209/ 
1000734/ materia 734/ 1/ LE/ 8/ 1000468/ 
1000735/ materia 735/ 4/ LE/ 8/ 1000103/ 
1000736/ materia 736/ 2/ LE/ 8/ 1000087/ 
1000737/ materia 737/ 2/ LE/ 8/ 1000387/ 
1000738/ materia 738/ 3/ LE/ 8/ 1000047/ 
1000739/ materia 739/ 4/ LE/ 8/ 1000249/ 
1000740/ materia 740/ 5/ LE/ 8/ 1000129/ 
1000741/ materia 741/ 1/ LE/ 8/ 1000390/ 
1000742/ materia 742/ 5/ LE/ 8/ 1000459/ 
1000743/ materia 743/ 3/ LE/ 8/ 1000174/ 
1000744/ materia 744/ 1/ LE/ 8/ 1000222/ 
1000745/ materia 745/ 5/ LE/ 8/ 1000137/ 
1000746/ materia 746/ 3/ LE/ 8/ 1000268/ 
1000747/ materia 747/ 2/ LE/ 8/ 1000243/ 
1000748/ materia 748/ 5/ LE/ 8/ 1000719/ 
1000749/ materia 749/ 5/ LE/ 8/ 1000539/ 
1000750/ materia 750/ 4/ LE/ 8/ 1000220/ 
1000751/ materia 751/ 3/ LE/ 8/ 1000515/ 
1000752/ materia 752/ 4/ LE/ 8/ 1000629/ 
1000753/ materia 753/ 3/ LE/ 8/ 1000141/ 
1000754/ materia 754/ 1/ LE/ 8/ 1000665/ 
1000755/ materia 755/ 3/ LE/ 8/ 1000355/ 
1000756/ materia 756/ 2/ LE/ 8/ 1000224/ 
1000757/ materia 757/ 2/ LE/ 8/ 1000729/ 
1000758/ materia 758/ 1/ LE/ 8/ 1000409/ 
1000759/ materia 759/ 2/ LE/ 8/ 1000310/ 
1000760/ materia 760/ 2/ LE/ 8/ 1000701/ 
1000761/ materia 761/ 5/ LE/ 8/ 1000196/ 
1000762/ materia 762/ 3/ LE/ 8/ 1000102/ 
1000763/ materia 763/ 4/ LE/ 8/ 1000236/ 
1000764/ materia 764/ 3/ LE/ 8/ 1000760/ 
1000765/ materia 765/ 5/ LE/ 8/ 1000462/ 
1000766/ materia 766/ 1/ LE/ 8/ 1000372/ 
1000767/ materia 767/ 1/ LE/ 8/ 1000429/ 
1000768/ materia 768/ 2/ LE/ 8/ 1000000/ 
1000769/ materia 769/ 3/ LE/ 8/ 1000282/ 
1000770/ materia 770/ 3/ LE/ 8/ 1000669/ 
1000771/ materia 771/ 5/ LE/ 8/ 1000483/ 
1000772/ materia 772/ 1/ LE/ 8/ 1000096/ 
1000773/ materia 773/ 4/ LE/ 8/ 1000185/ 
1000774/ materia 774/ 1/ LE/ 8/ 1000396/ 
1000775/ materia 775/ 1/ LE/ 8/ 1000427/ 
1000776/ materia 776/ 4/ LE/ 8/ 1000589/ 
1000777/ materia 777/ 3/ LE/ 8/ 1000575/ 
1000778/ materia 778/ 4/ LE/ 8/ 1000072/ 
1000779/ materia 779/ 5/ LE/ 8/ 1000356/ 
1000780/ materia 780/ 4/ LE/ 8/ 1000779/ 
1000781/ materia 781/ 3/ LE/ 8/ 1000560/ 
1000782/ materia 782/ 2/ LE/ 8/ 1000192/ 
1000783/ materia 783/ 2/ LE/ 8/ 1000033/ 
1000784/ materia 784/ 3/ LE/ 8/ 1000111/ 
1000785/ materia 785/ 5/ LE/ 8/ 1000665/ 
1000786/ materia 786/ 2/ LE/ 8/ 1000045/ 
1000787/ materia 787/ 1/ LE/ 8/ 1000068/ 
1000788/ materia 788/ 5/ LE/ 8/ 1000147/ 
1000789/ materia 789/ 4/ LE/ 8/ 1000107/ 
1000790/ materia 790/ 2/ LE/ 8/ 1000447/ 
1000791/ materia 791/ 5/ LE/ 8/ 1000746/ 
1000792/ materia 792/ 4/ LE/ 8/ 1000268/ 
1000793/ materia 793/ 2/ LE/ 8/ 1000328/ 
1000794/ materia 794/ 3/ LE/ 8/ 1000212/ 
1000795/ materia 795/ 4/ LE/ 8/ 1000039/ 
1000796/ materia 796/ 5/ LE/ 8/ 1000401/ 
1000797/ materia 797/ 4/ LE/ 8/ 1000671/ 
1000798/ materia 798/ 3/ LE/ 8/ 1000482/ 
1000799/ materia 799/ 5/ LE/ 8/ 1000331/ 
1000800/ materia 800/ 1/ LE/ 8/ 1000633/ 
1000801/ materia 801/ 1/ LE/ 9/ 1000328/ 
1000802/ materia 802/ 1/ LE/ 9/ 1000382/ 
1000803/ materia 803/ 4/ LE/ 9/ 1000105/ 
1000804/ materia 804/ 3/ LE/ 9/ 1000013/ 
1000805/ materia 805/ 3/ LE/ 9/ 1000349/ 
1000806/ materia 806/ 4/ LE/ 9/ 1000593/ 
1000807/ materia 807/ 4/ LE/ 9/ 1000699/ 
1000808/ materia 808/ 2/ LE/ 9/ 1000156/ 
1000809/ materia 809/ 2/ LE/ 9/ 1000048/ 
1000810/ materia 810/ 3/ LE/ 9/ 1000558/ 
1000811/ materia 811/ 1/ LE/ 9/ 1000297/ 
1000812/ materia 812/ 2/ LE/ 9/ 1000033/ 
1000813/ materia 813/ 1/ LE/ 9/ 1000617/ 
1000814/ materia 814/ 4/ LE/ 9/ 1000482/ 
1000815/ materia 815/ 4/ LE/ 9/ 1000781/ 
1000816/ materia 816/ 3/ LE/ 9/ 1000394/ 
1000817/ materia 817/ 2/ LE/ 9/ 1000681/ 
1000818/ materia 818/ 3/ LE/ 9/ 1000130/ 
1000819/ materia 819/ 5/ LE/ 9/ 1000034/ 
1000820/ materia 820/ 3/ LE/ 9/ 1000118/ 
1000821/ materia 821/ 4/ LE/ 9/ 1000751/ 
1000822/ materia 822/ 4/ LE/ 9/ 1000042/ 
1000823/ materia 823/ 2/ LE/ 9/ 1000494/ 
1000824/ materia 824/ 5/ LE/ 9/ 1000703/ 
1000825/ materia 825/ 2/ LE/ 9/ 1000377/ 
1000826/ materia 826/ 4/ LE/ 9/ 1000322/ 
1000827/ materia 827/ 5/ LE/ 9/ 1000572/ 
1000828/ materia 828/ 4/ LE/ 9/ 1000117/ 
1000829/ materia 829/ 5/ LE/ 9/ 1000206/ 
1000830/ materia 830/ 2/ LE/ 9/ 1000201/ 
1000831/ materia 831/ 5/ LE/ 9/ 1000792/ 
1000832/ materia 832/ 5/ LE/ 9/ 1000620/ 
1000833/ materia 833/ 1/ LE/ 9/ 1000751/ 
1000834/ materia 834/ 2/ LE/ 9/ 1000113/ 
1000835/ materia 835/ 3/ LE/ 9/ 1000084/ 
1000836/ materia 836/ 3/ LE/ 9/ 1000084/ 
1000837/ materia 837/ 4/ LE/ 9/ 1000301/ 
1000838/ materia 838/ 2/ LE/ 9/ 1000456/ 
1000839/ materia 839/ 3/ LE/ 9/ 1000359/ 
1000840/ materia 840/ 2/ LE/ 9/ 1000714/ 
1000841/ materia 841/ 3/ LE/ 9/ 1000328/ 
1000842/ materia 842/ 3/ LE/ 9/ 1000337/ 
1000843/ materia 843/ 5/ LE/ 9/ 1000257/ 
1000844/ materia 844/ 4/ LE/ 9/ 1000285/ 
1000845/ materia 845/ 5/ LE/ 9/ 1000079/ 
1000846/ materia 846/ 1/ LE/ 9/ 1000495/ 
1000847/ materia 847/ 2/ LE/ 9/ 1000578/ 
1000848/ materia 848/ 1/ LE/ 9/ 1000093/ 
1000849/ materia 849/ 4/ LE/ 9/ 1000336/ 
1000850/ materia 850/ 5/ LE/ 9/ 1000372/ 
1000851/ materia 851/ 2/ LE/ 9/ 1000501/ 
1000852/ materia 852/ 2/ LE/ 9/ 1000356/ 
1000853/ materia 853/ 5/ LE/ 9/ 1000469/ 
1000854/ materia 854/ 4/ LE/ 9/ 1000209/ 
1000855/ materia 855/ 3/ LE/ 9/ 1000538/ 
1000856/ materia 856/ 5/ LE/ 9/ 1000613/ 
1000857/ materia 857/ 2/ LE/ 9/ 1000548/ 
1000858/ materia 858/ 3/ LE/ 9/ 1000645/ 
1000859/ materia 859/ 1/ LE/ 9/ 1000419/ 
1000860/ materia 860/ 1/ LE/ 9/ 1000137/ 
1000861/ materia 861/ 1/ LE/ 9/ 1000064/ 
1000862/ materia 862/ 4/ LE/ 9/ 1000562/ 
1000863/ materia 863/ 4/ LE/ 9/ 1000369/ 
1000864/ materia 864/ 4/ LE/ 9/ 1000094/ 
1000865/ materia 865/ 5/ LE/ 9/ 1000082/ 
1000866/ materia 866/ 2/ LE/ 9/ 1000083/ 
1000867/ materia 867/ 2/ LE/ 9/ 1000683/ 
1000868/ materia 868/ 2/ LE/ 9/ 1000545/ 
1000869/ materia 869/ 3/ LE/ 9/ 1000232/ 
1000870/ materia 870/ 4/ LE/ 9/ 1000161/ 
1000871/ materia 871/ 5/ LE/ 9/ 1000424/ 
1000872/ materia 872/ 4/ LE/ 9/ 1000856/ 
1000873/ materia 873/ 1/ LE/ 9/ 1000860/ 
1000874/ materia 874/ 3/ LE/ 9/ 1000415/ 
1000875/ materia 875/ 3/ LE/ 9/ 1000457/ 
1000876/ materia 876/ 1/ LE/ 9/ 1000122/ 
1000877/ materia 877/ 2/ LE/ 9/ 1000853/ 
1000878/ materia 878/ 5/ LE/ 9/ 1000416/ 
1000879/ materia 879/ 1/ LE/ 9/ 1000411/ 
1000880/ materia 880/ 4/ LE/ 9/ 1000241/ 
1000881/ materia 881/ 4/ LE/ 9/ 1000689/ 
1000882/ materia 882/ 5/ LE/ 9/ 1000126/ 
1000883/ materia 883/ 2/ LE/ 9/ 1000863/ 
1000884/ materia 884/ 4/ LE/ 9/ 1000230/ 
1000885/ materia 885/ 2/ LE/ 9/ 1000258/ 
1000886/ materia 886/ 1/ LE/ 9/ 1000351/ 
1000887/ materia 887/ 5/ LE/ 9/ 1000249/ 
1000888/ materia 888/ 5/ LE/ 9/ 1000158/ 
1000889/ materia 889/ 3/ LE/ 9/ 1000185/ 
1000890/ materia 890/ 1/ LE/ 9/ 1000536/ 
1000891/ materia 891/ 1/ LE/ 9/ 1000613/ 
1000892/ materia 892/ 1/ LE/ 9/ 1000720/ 
1000893/ materia 893/ 3/ LE/ 9/ 1000508/ 
1000894/ materia 894/ 2/ LE/ 9/ 1000073/ 
1000895/ materia 895/ 3/ LE/ 9/ 1000076/ 
1000896/ materia 896/ 1/ LE/ 9/ 1000121/ 
1000897/ materia 897/ 3/ LE/ 9/ 1000213/ 
1000898/ materia 898/ 3/ LE/ 9/ 1000546/ 
1000899/ materia 899/ 2/ LE/ 9/ 1000395/ 
1000900/ materia 900/ 2/ LE/ 9/ 1000762/ 
1000901/ materia 901/ 3/ LE/ 10/ 1000365/ 
1000902/ materia 902/ 3/ LE/ 10/ 1000820/ 
1000903/ materia 903/ 1/ LE/ 10/ 1000264/ 
1000904/ materia 904/ 5/ LE/ 10/ 1000756/ 
1000905/ materia 905/ 4/ LE/ 10/ 1000083/ 
1000906/ materia 906/ 1/ LE/ 10/ 1000149/ 
1000907/ materia 907/ 3/ LE/ 10/ 1000242/ 
1000908/ materia 908/ 1/ LE/ 10/ 1000632/ 
1000909/ materia 909/ 2/ LE/ 10/ 1000587/ 
1000910/ materia 910/ 3/ LE/ 10/ 1000462/ 
1000911/ materia 911/ 3/ LE/ 10/ 1000512/ 
1000912/ materia 912/ 1/ LE/ 10/ 1000204/ 
1000913/ materia 913/ 1/ LE/ 10/ 1000222/ 
1000914/ materia 914/ 4/ LE/ 10/ 1000480/ 
1000915/ materia 915/ 2/ LE/ 10/ 1000417/ 
